"Woonplaats","Indicatie Hoofdvestiging","Rechtsvorm","Rechtsvorm omschrijving","Hoofdactiviteit","Omschrijving hoofdactiviteit","Nevenactiviteit 1","Omschrijving nevenactiviteit 1","Nevenactiviteit 2","Omschrijving nevenactiviteit 2","Import","Export",Datum oprichting,Datum akte oprichting,Datum Inschrijving,Datum vestiging,Datum vestiging huidig adres,Datum opheffing,Datum voortzetting,"Indicator surseance - faillissement - schuldsanering",boekjaar,Datum deponering jaarstuk
"Maastricht","H","11","Vennootschap onder firma","45112","Handel/rep. personen-/lichte bedr.auto's","46771","Groothandel in autosloopmateriaal","46722","GH ferrometalen en -halffabrikaten","J","J",20080101,0,20080103,20080101,20080528,0,0,"",0,0
"Bunde","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20080103,20080101,20200901,0,0,"",0,0
"Susteren","H","01","Eenmanszaak","96022","Schoonheidsverzorging/pedi-/manicures","","","","","N","N",0,0,20080103,20080101,20181118,0,0,"",0,0
"Amsterdam","H","01","Eenmanszaak","74102","Industrieel en productontwerp","","","","","N","N",0,0,20081110,20080101,20140501,0,0,"",0,0
"Well L","H","41","Besloten vennootschap met gewone structuur","01193","Teelt van voedergewassen","6420","Financiële holdings","01134","Teelt aardapp en ov. wortel/knolgewassen","N","N",20071231,20071231,20080103,20071231,0,0,0,"",2021,20220510
"Cadier en Keer","H","41","Besloten vennootschap met gewone structuur","86221","Praktijken medisch spec./med. dagbehand.","","","","","N","N",20080102,20080102,20080103,20080102,20180201,0,0,"",2020,20210913
"Hunsel","H","01","Eenmanszaak","96021","Haarverzorging","","","","","N","N",0,0,20080103,20080101,0,0,0,"",0,0
"Drachten","N","41","Besloten vennootschap met gewone structuur","2812","Verv. hydraulische apparatuur","46699","GH ov.mach./app./toeb. ind./handel","","","J","N",19931029,19931029,20080103,20080101,20120910,0,0,"",2020,20210729
"Veghel","H","41","Besloten vennootschap met gewone structuur","8121","Interieurreiniging van gebouwen","","","","","N","N",19990714,19990714,20080103,20080103,20220101,0,0,"",2020,20220222
"'s-Hertogenbosch","H","41","Besloten vennootschap met gewone structuur","4110","Projectontwikkeling","","","","","N","N",20071227,20071227,20080102,20071227,20190801,0,0,"",2020,20211105
"'s-Hertogenbosch","H","41","Besloten vennootschap met gewone structuur","4110","Projectontwikkeling","4120","Algemene burgerlijke en utiliteitsbouw","6810","Handel in eigen onroerend goed","N","N",20071227,20071227,20080102,20071227,20220202,0,0,"",2017,20181218
"'s-Hertogenbosch","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","64303","Beleggingsinst. met beperkte toetreding","","","N","N",20071227,20071227,20080102,20071227,20140401,0,0,"",2017,20181226
"Wintelre","H","01","Eenmanszaak","8553","Auto- en motorrijscholen","7112","Ingenieurs/overig techn. ontwerp/advies","","","","",0,0,20080103,20080101,0,0,0,"",0,0
"Geffen","H","01","Eenmanszaak","4332","Bouwtimmeren","","","","","","",0,0,20080103,20080101,20090518,0,0,"",0,0
"Tilburg","H","41","Besloten vennootschap met gewone structuur","70221","Organisatie-adviesbureaus","","","","","","",20071231,20071231,20080103,20071231,20080704,0,0,"",2018,20200130
"'s-Hertogenbosch","","74","Stichting","94993","Steunfondsen (niet ohgv welzijnszorg)","","","","","","",20071228,20071228,0,0,0,0,0,"",2021,20220608
"Oijen","H","01","Eenmanszaak","70221","Organisatie-adviesbureaus","","","","","N","N",0,0,20080103,20080101,20171010,0,0,"",0,0
"Tilburg","H","41","Besloten vennootschap met gewone structuur","70222","Advisering ohgv management/bedrijfsv.","6831","Bemidd. bij handel/huur/verhuur onr.goed","","","","",20071231,20071231,20080103,20071231,20080704,0,0,"",2018,20200130
"Moergestel","H","01","Eenmanszaak","69203","Boekhoudkantoren","69204","Belastingconsulenten","","","","",0,0,20080103,20080101,20180417,0,0,"",0,0
"Someren","H","41","Besloten vennootschap met gewone structuur","70102","Holdings (geen financiële)","","","","","N","N",20071228,20071228,20080103,20071228,0,0,0,"",2020,20211223
"Riel","H","41","Besloten vennootschap met gewone structuur","6420","Financiële holdings","","","","","N","N",20071221,20071221,20080103,20071221,20141218,0,0,"",2021,20220421
"Drunen","","71","Vereniging met volledige rechtsbevoegdheid","94991","Gezelligheidsverenigingen","","","","","","",20071124,0,0,0,0,0,0,"",0,0
"Son en Breugel","H","01","Eenmanszaak","8891","Kinderopvang","","","","","","",0,0,20080103,20080101,0,0,0,"",0,0
"Boxmeer","H","01","Eenmanszaak","9003","Schrijven en overige scheppende kunst","85592","Bedrijfsopleiding en -training","","","N","N",0,0,20080103,20080101,20120123,0,0,"",0,0
"Milheeze","H","41","Besloten vennootschap met gewone structuur","01461","Fokvarkens- en vermeerderingsbedrijven","6420","Financiële holdings","","","J","J",20071231,20071231,20080103,20071231,0,0,0,"",2020,20210713
